MSOA_code,Households
E02001264,3162
E02001265,3356
E02001266,3014
E02001267,3171
E02001268,2964
E02001269,3583
E02001270,3330
E02001271,2746
E02001272,3340
E02001273,3919
E02001274,3141
E02001275,3357
E02001276,3219
E02001277,3078
E02001278,2948
E02001279,3104
E02001280,3232
E02001281,2956
E02001282,3393
E02001283,3218
E02001284,2961
E02001285,3167
E02001286,2975
E02001287,2256
E02001288,3015
E02001289,4129
E02001290,2364
E02001291,3051
E02001292,3294
E02001293,2432
E02001294,3128
E02001295,3467
E02001296,3343
E02001297,2866
E02001298,3062
E02001299,3145
E02001300,3216
E02001301,3324
E02001302,3116
E02001303,3271
E02001304,4814
E02001305,3066
E02001306,2965
E02001307,3900
E02001308,2539
E02001309,2817
E02001310,3086
E02001311,3355
E02001312,2717
E02001313,3086
E02001314,2920
E02001315,3110
E02001316,2764
E02001317,3221
E02001318,3242
E02001319,3092
E02001320,3277
E02001321,3087
E02001322,3085
E02001323,3089
E02001324,3175
E02001325,3113
E02001326,3098
E02001327,2763
E02001328,3322
E02001329,3349
E02001330,3676
E02001331,4156
E02001332,3109
E02001333,3543
E02001334,2985
E02001335,3050
E02001336,3033
E02001337,2388
E02001338,2418
E02001339,2915
E02001340,3690
E02001341,3136
E02001342,2809
E02001343,2616
E02001344,2283
E02001345,2352
E02001346,2958
E02001347,3200
E02001348,3043
E02001349,2986
E02001350,3365
E02001351,3599
E02001352,2539
E02001353,3015
E02001354,3107
E02001355,3117
E02001356,3121
E02001357,2892
E02001358,3370
E02001359,2221
E02001360,3697
E02001361,3236
E02001362,3179
E02001363,3186
E02001364,3442
E02001365,3923
E02001366,3865
E02001367,3699
E02001368,3189
E02001369,2870
E02001370,2874
E02001371,3194
E02001372,2592
E02001373,3721
E02001374,3646
E02001375,3186
E02001376,3559
E02001377,3785
E02001378,3189
E02001379,2906
E02001380,3016
E02001381,4139
E02001382,2851
E02001383,2857
E02001384,3516
E02001385,2903
E02001386,3885
E02001387,3037
E02001388,2871
E02001389,3530
E02001390,3567
E02001391,2530
E02001392,2578
E02001393,2782
E02001394,3694
E02001395,2497
E02001396,3216
E02001397,3532
E02001398,3251
E02001399,2849
E02001400,2721
E02001401,3023
E02001402,3183
E02001403,2734
E02001404,2738
E02001405,3856
E02001406,3484
E02001407,2612
E02001408,2373
E02001409,4337
E02001410,2448
E02001411,2370
E02001412,3607
E02001413,4139
E02001414,2182
E02001415,2529
E02001416,2542
E02001417,3565
E02001418,2276
E02001419,3129
E02001420,4123
E02001421,4464
E02001422,2351
E02001423,2499
E02001424,4701
E02001425,4484
E02001426,2463
E02001427,3719
E02001428,2299
E02001429,3131
E02001430,3023
E02001431,3497
E02001432,4060
E02001433,3096
E02001434,2771
E02001435,3341
E02001436,3473
E02001437,4029
E02001438,3083
E02001439,2741
E02001440,2647
E02001441,2774
E02001442,2530
E02001443,2332
E02001444,2428
E02001445,2927
E02001446,2924
E02001447,2534
E02001448,2787
E02001449,3866
E02001450,3453
E02001451,2829
E02001452,2918
E02001453,3500
E02001454,2709
E02001455,2822
E02001456,3041
E02001457,2890
E02001458,3150
E02001459,2682
E02001460,3648
E02001461,2950
E02001462,3223
E02001463,2838
E02001464,3049
E02001465,3532
E02001466,3620
E02001467,3385
E02001468,3034
E02001469,3377
E02001470,3404
E02001471,3160
E02001472,2603
E02001473,3155
E02001474,3244
E02001475,2781
E02001476,3183
E02001477,3255
E02001478,3375
E02001479,2531
E02001480,3180
E02001481,3127
E02001482,3674
E02001483,3124
E02001484,3327
E02001485,2534
E02001486,3799
E02001487,3903
E02001488,3424
E02001489,3632
E02001490,3025
E02001491,3048
E02001492,3445
E02001493,3302
E02001494,2914
E02001495,3126
E02001496,2392
E02001497,3371
E02001498,3009
E02001499,2888
E02001500,3172
E02001501,3200
E02001502,3361
E02001503,3301
E02001504,2970
E02001505,2671
E02001506,3656
E02001507,2949
E02001508,3330
E02002574,2315
E02002575,2726
E02002576,3011
E02002577,3230
E02002578,3027
E02002579,3080
E02002580,3011
E02002581,2508
E02002582,2685
E02002583,3171
E02002584,2965
E02002585,3817
E02002586,3898
E02002587,2813
E02002588,3002
E02002589,2694
E02002590,2477
E02002591,2694
E02002592,2265
E02002593,2363
E02002594,2552
E02002595,3444
E02002596,3390
E02002597,3765
E02002598,2130
E02002599,3287
E02002600,3867
E02002601,3235
E02002602,2924
E02002603,2927
E02002604,3030
E02002605,3350
E02002606,3747
E02002607,3773
E02002608,3521
E02002609,3345
E02002610,4426
E02002611,3080
E02002612,3960
E02002613,2202
E02002614,2278
E02002615,3900
E02002616,2945
E02002617,2467
E02002618,2041
E02002619,2937
E02002620,2953
E02002621,2413
E02002622,3635
E02002623,4408
E02002624,3110
E02002625,3322
E02002626,3042
E02002627,2183
E02002628,3048
E02002629,2433
E02002630,2594
E02002631,3508
E02002632,2469
E02002633,3635
E02002634,3962
E02002635,3450
E02002636,3517
E02002637,2766
E02002638,2853
E02002639,2719
E02002640,3540
E02002641,3537
E02002642,3674
E02002643,3537
E02002644,3423
E02002645,2492
E02002646,3276
E02002647,3661
E02002648,3189
E02002649,3738
E02002650,3445
E02002651,3525
E02003794,3347
E02003795,2134
E02003796,3203
E02003797,3697
E02003798,2529
E02003799,3045
E02003800,2502
E02003801,2892
E02003802,3163
E02003803,3030
E02003804,3095
E02003805,2518
E02003806,2475
